H_bin,S_bin,n_files,codec_a,codec_b,kendall_tau
H0,S4,5,zstd-1,zstd-19,0.4
H0,S4,5,zstd-1,bzip2-9,0.8
H0,S4,5,zstd-1,zpaq-m5,0.6
H0,S4,5,zstd-19,bzip2-9,0.2
H0,S4,5,zstd-19,zpaq-m5,0.4
H0,S4,5,bzip2-9,zpaq-m5,0.4
H1,S4,8,zstd-1,zstd-19,1.0
H1,S4,8,zstd-1,bzip2-9,1.0
H1,S4,8,zstd-1,zpaq-m5,1.0
H1,S4,8,zstd-19,bzip2-9,1.0
H1,S4,8,zstd-19,zpaq-m5,1.0
H1,S4,8,bzip2-9,zpaq-m5,1.0
H2,S3,4,zstd-1,zstd-19,0.3333
H2,S3,4,zstd-1,bzip2-9,0.6667
H2,S3,4,zstd-1,zpaq-m5,1.0
H2,S3,4,zstd-19,bzip2-9,0.0
H2,S3,4,zstd-19,zpaq-m5,0.3333
H2,S3,4,bzip2-9,zpaq-m5,0.6667
H3,S2,5,zstd-1,zstd-19,1.0
H3,S2,5,zstd-1,bzip2-9,0.6
H3,S2,5,zstd-1,zpaq-m5,0.6
H3,S2,5,zstd-19,bzip2-9,0.6
H3,S2,5,zstd-19,zpaq-m5,0.6
H3,S2,5,bzip2-9,zpaq-m5,1.0
H3,S3,5,zstd-1,zstd-19,0.8
H3,S3,5,zstd-1,bzip2-9,1.0
H3,S3,5,zstd-1,zpaq-m5,0.8
H3,S3,5,zstd-19,bzip2-9,0.8
H3,S3,5,zstd-19,zpaq-m5,1.0
H3,S3,5,bzip2-9,zpaq-m5,0.8
H3,S4,6,zstd-1,zstd-19,1.0
H3,S4,6,zstd-1,bzip2-9,1.0
H3,S4,6,zstd-1,zpaq-m5,1.0
H3,S4,6,zstd-19,bzip2-9,1.0
H3,S4,6,zstd-19,zpaq-m5,1.0
H3,S4,6,bzip2-9,zpaq-m5,1.0
H4,S1,5,zstd-1,zstd-19,0.4
H4,S1,5,zstd-1,bzip2-9,0.4
H4,S1,5,zstd-1,zpaq-m5,-0.8
H4,S1,5,zstd-19,bzip2-9,0.2
H4,S1,5,zstd-19,zpaq-m5,-0.6
H4,S1,5,bzip2-9,zpaq-m5,-0.2
H4,S2,5,zstd-1,zstd-19,0.8
H4,S2,5,zstd-1,bzip2-9,0.0
H4,S2,5,zstd-1,zpaq-m5,0.2
H4,S2,5,zstd-19,bzip2-9,0.2
H4,S2,5,zstd-19,zpaq-m5,0.0
H4,S2,5,bzip2-9,zpaq-m5,0.8
H4,S3,5,zstd-1,zstd-19,0.8
H4,S3,5,zstd-1,bzip2-9,1.0
H4,S3,5,zstd-1,zpaq-m5,1.0
H4,S3,5,zstd-19,bzip2-9,0.8
H4,S3,5,zstd-19,zpaq-m5,0.8
H4,S3,5,bzip2-9,zpaq-m5,1.0
H4,S4,5,zstd-1,zstd-19,0.6
H4,S4,5,zstd-1,bzip2-9,0.4
H4,S4,5,zstd-1,zpaq-m5,0.4
H4,S4,5,zstd-19,bzip2-9,0.8
H4,S4,5,zstd-19,zpaq-m5,0.8
H4,S4,5,bzip2-9,zpaq-m5,1.0
H5,S1,5,zstd-1,zstd-19,0.0
H5,S1,5,zstd-1,bzip2-9,0.6
H5,S1,5,zstd-1,zpaq-m5,0.6
H5,S1,5,zstd-19,bzip2-9,0.0
H5,S1,5,zstd-19,zpaq-m5,-0.4
H5,S1,5,bzip2-9,zpaq-m5,0.6
H5,S2,5,zstd-1,zstd-19,1.0
H5,S2,5,zstd-1,bzip2-9,1.0
H5,S2,5,zstd-1,zpaq-m5,1.0
H5,S2,5,zstd-19,bzip2-9,1.0
H5,S2,5,zstd-19,zpaq-m5,1.0
H5,S2,5,bzip2-9,zpaq-m5,1.0
H5,S4,4,zstd-1,zstd-19,0.6667
H5,S4,4,zstd-1,bzip2-9,0.6667
H5,S4,4,zstd-1,zpaq-m5,1.0
H5,S4,4,zstd-19,bzip2-9,0.3333
H5,S4,4,zstd-19,zpaq-m5,0.6667
H5,S4,4,bzip2-9,zpaq-m5,0.6667
H6,S0,5,zstd-1,zstd-19,1.0
H6,S0,5,zstd-1,bzip2-9,0.6
H6,S0,5,zstd-1,zpaq-m5,-1.0
H6,S0,5,zstd-19,bzip2-9,0.6
H6,S0,5,zstd-19,zpaq-m5,-1.0
H6,S0,5,bzip2-9,zpaq-m5,-0.6
H6,S1,5,zstd-1,zstd-19,0.8
H6,S1,5,zstd-1,bzip2-9,0.8
H6,S1,5,zstd-1,zpaq-m5,0.6
H6,S1,5,zstd-19,bzip2-9,1.0
H6,S1,5,zstd-19,zpaq-m5,0.8
H6,S1,5,bzip2-9,zpaq-m5,0.8
H6,S2,5,zstd-1,zstd-19,0.0
H6,S2,5,zstd-1,bzip2-9,0.0
H6,S2,5,zstd-1,zpaq-m5,-0.4
H6,S2,5,zstd-19,bzip2-9,0.2
H6,S2,5,zstd-19,zpaq-m5,0.6
H6,S2,5,bzip2-9,zpaq-m5,0.6
H6,S3,5,zstd-1,zstd-19,0.8
H6,S3,5,zstd-1,bzip2-9,0.6
H6,S3,5,zstd-1,zpaq-m5,0.4
H6,S3,5,zstd-19,bzip2-9,0.8
H6,S3,5,zstd-19,zpaq-m5,0.6
H6,S3,5,bzip2-9,zpaq-m5,0.4
H6,S4,5,zstd-1,zstd-19,1.0
H6,S4,5,zstd-1,bzip2-9,1.0
H6,S4,5,zstd-1,zpaq-m5,0.4
H6,S4,5,zstd-19,bzip2-9,1.0
H6,S4,5,zstd-19,zpaq-m5,0.4
H6,S4,5,bzip2-9,zpaq-m5,0.4
